total_number,cyto_number,nuclei_number,ratio,gene
27,27,0,1.0,BAC45727
47,46,1,0.9787234042553191,BAC46169
40,38,2,0.95,BAC47034
20,19,1,0.95,BAC47856
29,28,1,0.9655172413793104,BAC48395
35,34,1,0.9714285714285714,BAC51072
23,23,0,1.0,BAC51722
22,22,0,1.0,BAC52602
44,44,0,1.0,BAC52793
85,85,0,1.0,BAC52805
3023,2264,759,0.7489249090307641,CYP93A1
277,266,11,0.9602888086642599,G4DT
2317,1321,996,0.5701337936987484,GLYMA_01G019200
78,65,13,0.8333333333333334,GLYMA_01G156200
56,50,6,0.8928571428571429,GLYMA_01G164600
29,26,3,0.896551724137931,GLYMA_01G187400
914,742,172,0.811816192560175,GLYMA_02G003700
71,69,2,0.971830985915493,GLYMA_02G149100
16,16,0,1.0,GLYMA_02G201100
2261,2002,259,0.8854489164086687,GLYMA_03G029900
351,302,49,0.8603988603988604,GLYMA_03G079500
32,32,0,1.0,GLYMA_04G010600
675,663,12,0.9822222222222222,GLYMA_04G063800
25,0,25,0.0,GLYMA_04G208400
65,57,8,0.8769230769230769,GLYMA_04G227200
1537,1224,313,0.7963565387117761,GLYMA_05G023700
50577,48377,2200,0.9565019672973881,GLYMA_05G092200
263,233,30,0.8859315589353612,GLYMA_05G203100
34377,32854,1523,0.9556971230764756,GLYMA_05G216000
266,176,90,0.6616541353383458,GLYMA_06G002000
825,811,14,0.983030303030303,GLYMA_06G065000
229,182,47,0.7947598253275109,GLYMA_06G090100
18417,17160,1257,0.9317478416680242,GLYMA_06G168300
732,638,94,0.8715846994535519,GLYMA_06G235500
130,99,31,0.7615384615384615,GLYMA_06G256000
104,55,49,0.5288461538461539,GLYMA_06G259400
69,37,32,0.5362318840579711,GLYMA_06G294200
17,17,0,1.0,GLYMA_06G318000
241,144,97,0.5975103734439834,GLYMA_07G006500
24,23,1,0.9583333333333334,GLYMA_07G130800
69,68,1,0.9855072463768116,GLYMA_07G231500
883,816,67,0.9241223103057757,GLYMA_08G011100
23,20,3,0.8695652173913043,GLYMA_08G021700
4259,3058,1201,0.7180089222822259,GLYMA_08G125800
83,68,15,0.8192771084337349,GLYMA_08G314900
18,18,0,1.0,GLYMA_09G013100
217,132,85,0.6082949308755761,GLYMA_09G099900
270,243,27,0.9,GLYMA_09G127000
199,130,69,0.6532663316582915,GLYMA_09G150000
75,52,23,0.6933333333333334,GLYMA_09G160400
1726,939,787,0.5440324449594438,GLYMA_09G216800
13,0,13,0.0,GLYMA_10G028200
20,0,20,0.0,GLYMA_10G028300
1815,1274,541,0.7019283746556474,GLYMA_10G070200
174,172,2,0.9885057471264368,GLYMA_10G125000
207,187,20,0.9033816425120773,GLYMA_10G139200
119,105,14,0.8823529411764706,GLYMA_10G229400
42563,37500,5063,0.8810469186852431,GLYMA_11G008000
98,66,32,0.673469387755102,GLYMA_11G078300
154,90,64,0.5844155844155844,GLYMA_11G221200
6,0,6,0.0,GLYMA_11G235600
169,143,26,0.8461538461538461,GLYMA_11G243100
2463,2218,245,0.9005278116118555,GLYMA_12G027400
149,139,10,0.9328859060402684,GLYMA_12G154300
1,0,1,0.0,GLYMA_13G046800
30,27,3,0.9,GLYMA_13G091600
85,59,26,0.6941176470588235,GLYMA_13G261000
430,421,9,0.9790697674418605,GLYMA_13G334500
25,25,0,1.0,GLYMA_14G204500
87,36,51,0.41379310344827586,GLYMA_14G218700
1105,873,232,0.7900452488687782,GLYMA_15G008500
155,152,3,0.9806451612903225,GLYMA_15G040000
16513,15046,1467,0.9111609035305517,GLYMA_15G169100
216,210,6,0.9722222222222222,GLYMA_15G179500
209,180,29,0.861244019138756,GLYMA_15G210100
315,219,96,0.6952380952380952,GLYMA_15G245800
59,40,19,0.6779661016949152,GLYMA_15G274200
244,229,15,0.9385245901639344,GLYMA_16G039800
479,131,348,0.27348643006263046,GLYMA_16G106800
942,848,94,0.9002123142250531,GLYMA_16G165900
93,91,2,0.978494623655914,GLYMA_17G068700
45,45,0,1.0,GLYMA_17G133100
81,72,9,0.8888888888888888,GLYMA_17G180400
221,212,9,0.9592760180995475,GLYMA_17G185600
1607,1565,42,0.9738643434971997,GLYMA_17G185800
75,74,1,0.9866666666666667,GLYMA_17G195900
170,153,17,0.9,GLYMA_17G235000
88,80,8,0.9090909090909091,GLYMA_18G043200
70,67,3,0.9571428571428572,GLYMA_18G062100
174,119,55,0.6839080459770115,GLYMA_18G153100
1843,1456,387,0.7900162778079218,GLYMA_18G197400
642,584,58,0.9096573208722741,GLYMA_19G096100
53,42,11,0.7924528301886793,GLYMA_19G255500
80,59,21,0.7375,GLYMA_20G054000
104,62,42,0.5961538461538461,GLYMA_20G061300
379,361,18,0.9525065963060686,GLYMA_20G135300
45,43,2,0.9555555555555556,GLYMA_20G151700
